ne:featurecla,osm:boundary,osm:admin_level,osm:barrier,osm:historic,osm:man_made,min_zoom,kind
*,administrative,2;4,*,*,*,${8},${NULL}
*,administrative,6;8,*,*,*,${10},${NULL}
*,*,*,city_wall,*,*,${12},city_wall
*,*,*,*,citywalls,*,${12},city_wall
*,*,*,*,*,snow_fence,${15},snow_fence
*,*,*,retaining_wall,*,*,${15},retaining_wall
*,*,*,fence,*,*,${16},fence
1st Order Admin Lines,*,*,*,*,*,${0},1st_order_admin_lines
Admin-1 boundary,*,*,*,*,*,${0},admin-1_boundary
Admin-1 region boundary,*,*,*,*,*,${0},admin-1_region_boundary
Disputed (please verify),*,*,*,*,*,${0},disputed
Indefinite (please verify),*,*,*,*,*,${0},indefinite
Indeterminant frontier,*,*,*,*,*,${0},indeterminant_frontier
International boundary (verify),*,*,*,*,*,${0},international_boundary
Lease limit,*,*,*,*,*,${0},lease_limit
Line of control (please verify),*,*,*,*,*,${0},line_of_control
Overlay limit,*,*,*,*,*,${0},overlay_limit
Admin-1 statistical boundary,*,*,*,*,*,${NULL},${NULL}
Admin-1 statistical meta bounds,*,*,*,*,*,${NULL},${NULL}
