kind,sort_key
bridge,226
pier,225
dike,224
cutline,223
groyne,222
breakwater,221
land,220
footway,100
tower,99
wilderness_hut,98
parking,97
amusement_ride,96
water_slide,95
carousel,94
attraction,93
artwork,92
animal,91
pitch,90
playground,89
pedestrian,88
garden,87
beach,86
hanami,85
maze,84
generator,83
allotments,82
plant,81
summer_toboggan,80
roller_coaster,79
enclosure,78
petting_zoo,77
aviary,76
theatre,75
library,74
cinema,73
fuel,72
school,71
cemetery,70
place_of_worship,69
quarry,68
railway,67
farmyard,66
substation,65
works,64
water_works,63
wastewater_plant,62
common,61
village_green,60
sports_centre,59
stadium,58
runway,57
apron,56
taxiway,55
aerodrome,54
recreation_ground,53
golf_course,52
aquarium,51
hospital,50
trail_riding_station,49
resort,48
zoo,47
winery,46
wildlife_park,45
theme_park,44
prison,43
military,42
retail,41
commercial,40
college,37
university,36
farmland,35
farm,34
winter_sports,33
wetland,32
scrub,31
meadow,30
grass,29
forest,28
wood,27
glacier,26
park,24
nature_reserve,23
conservation,22
industrial,21
residential,20
national_park,18
protected_area,17
park or protected land,16
rural,14
urban,13
urban area,12
*,11
